Institution ID,Institution Name,City,State/Province,Country
475,Eastern Oregon University,La Grande,OR,USA
476,Second Military Medical University,Shanghai,Yangpu,China
477,SouthwesternÂ UniversityÂ of Finance and Economics,Chengdu,Sichuan,China
478,Inner Mongolia University of Technology,Hohhot,,China
479,"Nankai University,China",Tianjin,Tianjin,China
480,"Software Engineering Institute, East China Normal University",Shanghai,Shanghai,China
481,TianJin University Of Finance And Economics,Tianjin,China,China
482,National University of Singapore,Singapore,,Singapore
483,NanChang Aeronautical University,NanChang,JiangXi,China
484,Henan University of Science & Technology,Luoyang,Henan,China
485,School of Digital Media and Design Art,Beijing,,China
486,University of Science & Technology Beijing,Beijing,Beijing,China
487,North China Electric poewr university,Bejing,Beijing,China
488,Suzhou University of Science and Technology,Jiangsu,Suzhou,China
489,South-west Jiaotong University,Chengdu,Sichuan,China
490,South West Jiaotong University,Chengdu,Sichuan,China
491,WENZHOU UNIVERSITY,WENZHOU,ZHEJIANG,China
492,WuHan University,WUHAN,HUBEI,China
493,Dongguan University of Technology,Dongguan,Guangdong,China
494,Northeaster University (China),Shenyang,,China
495,Hefei University of Technology,Hefei,Anhui,China
496,SJTU-ParisTech Elite Institute of Technology,Shanghai,Shanghai,China
497,China Welfare Institute,Shanghai,Shanghai,China
498,College of Science and Technology of China Three Gorges University,YiChang,HuBei,China
499,"University of Science and Technology,Beijing(USTB)",Beijing,Beijing,China
500,Southwest University,Beibei,Chongqing,China
501,Wuhan Universty,Wuhan,Hubei,China
502,"Tianjin University, China",Tianjin,Tianjin,China
503,Shenzhen University,Shenzhen,Guangdong Province,China
504,UNIVERSITY OF SHANGHAI FOR SCIENCE AND TECHNOLOGY,SHANGHAI,,China
505,Shandong University Of Science And Technology,Qingdao,Shandong,China
506,Jiangsu Jianzhu Institute,Xuzhou,Jiangsu,China
507,SouthEast University,Nanjing,Jiangsu,China
508,Lanzhou University,Lanzhou,,China
509,LongDong University,Qingyang,Gausu,China
510,Shanxi Medical University,Taiyuan,Shanxi,China
511,Software Engineering Institute,Shanghai,China,China
512,Huaqiao University,Quan Zhou,Feng Ze,China
513,Shangdong university,Jinan,Shandong Province,China
514,Guilin University of Electronic Technology,Guilin,Guangxi,China
515,Information,Beijing,,China
516,NKU School of Mathematical Science,Tianjin,Tianjin,China
517,Northeast Petroleum University,Daqing,Heilongjiang,China
518,Hebei University,Baoding,Hebei,China
519,university,beijing,,China
520,University of Illinois,Urbana,IL,USA
